name,age,sales
User_1,45,368.31
User_2,29,877.93
User_3,33,127.58
User_4,26,992.36
User_5,18,240.21
User_6,45,693.76
User_7,29,114.35
User_8,47,287.92
User_9,50,634.71
User_10,26,574.29
User_11,63,255.69
User_12,50,950.32
User_13,42,234.96
User_14,43,377.27
User_15,66,426.37
User_16,29,210.25
User_17,19,816.73
User_18,40,922.7
User_19,41,870.91
User_20,61,398.7
User_21,46,648.26
User_22,27,998.0
User_23,41,342.0
User_24,18,315.71
User_25,48,104.44
User_26,50,239.93
User_27,44,345.41
User_28,44,999.35
User_29,62,324.04
User_30,24,162.91
User_31,61,467.47
User_32,66,501.89
User_33,62,999.55
User_34,57,825.37
User_35,24,103.81
User_36,29,659.28
User_37,49,618.29
User_38,38,779.66
User_39,30,999.76
User_40,42,523.28
User_41,52,896.33
User_42,60,532.66
User_43,20,424.89
User_44,60,594.65
User_45,27,313.44
User_46,58,591.03
User_47,24,908.2
User_48,29,357.83
User_49,29,833.82
User_50,43,159.6
User_51,40,980.3
User_52,70,596.68
User_53,41,112.01
User_54,32,492.32
User_55,62,501.33
User_56,70,297.07
User_57,28,685.85
User_58,25,900.65
User_59,57,487.48
User_60,21,661.18
User_61,19,831.72
User_62,32,906.28
User_63,36,454.63
User_64,60,289.08
User_65,21,879.95
User_66,29,385.46
User_67,41,441.92
User_68,35,724.92
User_69,27,633.76
User_70,61,114.97
User_71,50,575.48
User_72,42,954.51
User_73,56,508.27
User_74,60,838.19
User_75,29,575.98
User_76,50,762.59
User_77,54,362.18
User_78,51,560.94
User_79,57,943.98
User_80,36,698.84
User_81,69,662.71
User_82,35,953.82
User_83,50,515.47
User_84,48,340.5
User_85,57,337.31
User_86,44,296.67
User_87,20,778.01
User_88,52,367.21
User_89,34,812.81
User_90,60,313.64
User_91,23,486.45
User_92,41,233.14
User_93,26,505.67
User_94,31,337.3
User_95,61,478.52
User_96,41,955.14
User_97,42,588.94
User_98,25,745.75
User_99,45,244.09
User_100,45,837.08
